id,username,round,instruction
352,a202200700051,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
353,a202200700051,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
354,a202200700051,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
355,a202200700051,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
356,a202200700051,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
357,a202200700051,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
358,a202200700051,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
359,a202400620244,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
360,a202400620244,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
361,a202400620244,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
362,a202400620244,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
363,a202400620244,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
364,a202400620244,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
365,a202400620244,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
366,a202400620244,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
367,a202300620219,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
368,a202300620219,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
369,a202300620219,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
370,a202300620219,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
371,a202300620219,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
372,a202300620219,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
373,a202300620219,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
374,a202300620219,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
375,a202400620072,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
376,a202400620072,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
377,a202400620072,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
378,a202400620072,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
379,a202400620072,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
380,a202400620072,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
381,a202400620072,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
382,a202400620072,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
383,a202300620057,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
384,a202300620057,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
385,a202300620057,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
386,a202300620057,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
387,a202300620057,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
388,a202300620057,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
389,a202300620057,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
390,a202300620057,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
391,a202100630097,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
392,a202100630097,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
393,a202100630097,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
394,a202100630097,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
395,a202100630097,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
396,a202100630097,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
397,a202100630097,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
398,a202100630097,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
399,a202100630079,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
400,a202100630079,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
401,a202100630079,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
402,a202100630079,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
403,a202100630079,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
404,a202100630079,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
405,a202100630079,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
406,a202100630079,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
407,a202300630193,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
408,a202300630193,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
409,a202300630193,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
410,a202300630193,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
411,a202300630193,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
412,a202300630193,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
413,a202300630193,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
414,a202300630193,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
415,a202300630129,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
416,a202300630129,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
417,a202300630129,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
418,a202300630129,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
419,a202300630129,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
420,a202300630129,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
421,a202300630129,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
422,a202300630129,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
423,a202400800125,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
424,a202400800125,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
425,a202400800125,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
426,a202400800125,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
427,a202400800125,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
428,a202400800125,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
429,a202400800125,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
430,a202400800125,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
431,a202400620053,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
432,a202400620053,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
433,a202400620053,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
434,a202400620053,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
435,a202400620053,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
436,a202400620053,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
437,a202400620053,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
438,a202400620053,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
439,a202300630016,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
440,a202300630016,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
441,a202300630016,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
442,a202300630016,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
443,a202300630016,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
444,a202300630016,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
445,a202300630016,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
446,a202300630016,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
447,a202200620382,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
448,a202200620382,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
449,a202200620382,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
450,a202200620382,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
451,a202200620382,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
452,a202200620382,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
453,a202200620382,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
454,a202200620382,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
455,a202300620022,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
456,a202300620022,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
457,a202300620022,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
458,a202300620022,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
459,a202300620022,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
460,a202300620022,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
461,a202300620022,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
462,a202300620022,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
463,a202200620479,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
464,a202200620479,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
465,a202200620479,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
466,a202200620479,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
467,a202200620479,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
468,a202200620479,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
469,a202200620479,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
470,a202200620479,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
471,a202300620182,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
472,a202300620182,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
473,a202300620182,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
474,a202300620182,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
475,a202300620182,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
476,a202300620182,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
477,a202300620182,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
478,a202300620182,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
479,a202200630270,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
480,a202200630270,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
481,a202200630270,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
482,a202200630270,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
483,a202200630270,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
484,a202200630270,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
485,a202200630270,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
486,a202200630270,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
487,a202200630267,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
488,a202200630267,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
489,a202200630267,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
490,a202200630267,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
491,a202200630267,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
492,a202200630267,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
493,a202200630267,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
494,a202200630267,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
495,a202200630092,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
496,a202200630092,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
497,a202200630092,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
498,a202200630092,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
499,a202200630092,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
500,a202200630092,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
501,a202200630092,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
502,a202200630092,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
503,a202200630005,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
504,a202200630005,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
505,a202200630005,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
506,a202200630005,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
507,a202200630005,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
508,a202200630005,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
509,a202200630005,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
510,a202200630005,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
511,E001,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
512,E001,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
513,E001,3,现在进入正式的第1轮。本轮决策时间为20分钟。
514,E001,4,现在进入正式的第2轮。本轮决策时间为20分钟。
515,E001,5,现在进入正式的第3轮。本轮决策时间为20分钟。
516,E001,6,现在进入正式的第4轮。本轮决策时间为20分钟。
517,E001,7,现在进入正式的第5轮。本轮决策时间为20分钟。
518,E001,8,现在进入正式的第6轮。本轮决策时间为20分钟。
519,E001,9,现在进入正式的第7轮。本轮决策时间为20分钟。
520,E001,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
521,E002,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
522,E002,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
523,E002,3,现在进入正式的第1轮。本轮决策时间为20分钟。
524,E002,4,现在进入正式的第2轮。本轮决策时间为20分钟。
525,E002,5,现在进入正式的第3轮。本轮决策时间为20分钟。
526,E002,6,现在进入正式的第4轮。本轮决策时间为20分钟。
527,E002,7,现在进入正式的第5轮。本轮决策时间为20分钟。
528,E002,8,现在进入正式的第6轮。本轮决策时间为20分钟。
529,E002,9,现在进入正式的第7轮。本轮决策时间为20分钟。
530,E002,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
531,E003,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
532,E003,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
533,E003,3,现在进入正式的第1轮。本轮决策时间为20分钟。
534,E003,4,现在进入正式的第2轮。本轮决策时间为20分钟。
535,E003,5,现在进入正式的第3轮。本轮决策时间为20分钟。
536,E003,6,现在进入正式的第4轮。本轮决策时间为20分钟。
537,E003,7,现在进入正式的第5轮。本轮决策时间为20分钟。
538,E003,8,现在进入正式的第6轮。本轮决策时间为20分钟。
539,E003,9,现在进入正式的第7轮。本轮决策时间为20分钟。
540,E003,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
541,E004,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
542,E004,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
543,E004,3,现在进入正式的第1轮。本轮决策时间为20分钟。
544,E004,4,现在进入正式的第2轮。本轮决策时间为20分钟。
545,E004,5,现在进入正式的第3轮。本轮决策时间为20分钟。
546,E004,6,现在进入正式的第4轮。本轮决策时间为20分钟。
547,E004,7,现在进入正式的第5轮。本轮决策时间为20分钟。
548,E004,8,现在进入正式的第6轮。本轮决策时间为20分钟。
549,E004,9,现在进入正式的第7轮。本轮决策时间为20分钟。
550,E004,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
551,E005,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
552,E005,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
553,E005,3,现在进入正式的第1轮。本轮决策时间为20分钟。
554,E005,4,现在进入正式的第2轮。本轮决策时间为20分钟。
555,E005,5,现在进入正式的第3轮。本轮决策时间为20分钟。
556,E005,6,现在进入正式的第4轮。本轮决策时间为20分钟。
557,E005,7,现在进入正式的第5轮。本轮决策时间为20分钟。
558,E005,8,现在进入正式的第6轮。本轮决策时间为20分钟。
559,E005,9,现在进入正式的第7轮。本轮决策时间为20分钟。
560,E005,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
561,E006,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
562,E006,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
563,E006,3,现在进入正式的第1轮。本轮决策时间为20分钟。
564,E006,4,现在进入正式的第2轮。本轮决策时间为20分钟。
565,E006,5,现在进入正式的第3轮。本轮决策时间为20分钟。
566,E006,6,现在进入正式的第4轮。本轮决策时间为20分钟。
567,E006,7,现在进入正式的第5轮。本轮决策时间为20分钟。
568,E006,8,现在进入正式的第6轮。本轮决策时间为20分钟。
569,E006,9,现在进入正式的第7轮。本轮决策时间为20分钟。
570,E006,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
571,E007,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
572,E007,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
573,E007,3,现在进入正式的第1轮。本轮决策时间为20分钟。
574,E007,4,现在进入正式的第2轮。本轮决策时间为20分钟。
575,E007,5,现在进入正式的第3轮。本轮决策时间为20分钟。
576,E007,6,现在进入正式的第4轮。本轮决策时间为20分钟。
577,E007,7,现在进入正式的第5轮。本轮决策时间为20分钟。
578,E007,8,现在进入正式的第6轮。本轮决策时间为20分钟。
579,E007,9,现在进入正式的第7轮。本轮决策时间为20分钟。
580,E007,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
581,E008,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
582,E008,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
583,E008,3,现在进入正式的第1轮。本轮决策时间为20分钟。
584,E008,4,现在进入正式的第2轮。本轮决策时间为20分钟。
585,E008,5,现在进入正式的第3轮。本轮决策时间为20分钟。
586,E008,6,现在进入正式的第4轮。本轮决策时间为20分钟。
587,E008,7,现在进入正式的第5轮。本轮决策时间为20分钟。
588,E008,8,现在进入正式的第6轮。本轮决策时间为20分钟。
589,E008,9,现在进入正式的第7轮。本轮决策时间为20分钟。
590,E008,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
591,E009,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
592,E009,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
593,E009,3,现在进入正式的第1轮。本轮决策时间为20分钟。
594,E009,4,现在进入正式的第2轮。本轮决策时间为20分钟。
595,E009,5,现在进入正式的第3轮。本轮决策时间为20分钟。
596,E009,6,现在进入正式的第4轮。本轮决策时间为20分钟。
597,E009,7,现在进入正式的第5轮。本轮决策时间为20分钟。
598,E009,8,现在进入正式的第6轮。本轮决策时间为20分钟。
599,E009,9,现在进入正式的第7轮。本轮决策时间为20分钟。
600,E009,10,现在进入正式的第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
601,E010,1,现在进入第1轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
602,E010,2,现在进入第2轮（练习轮次）。本轮为练习轮次，时间为5分钟。本轮所有产品和结果均为虚拟数据，不计入最终成绩，请重点熟悉系统操作流程。
603,E010,3,现在进入正式的第1轮。本轮决策时间为20分钟。
604,E010,4,现在进入正式的第2轮。本轮决策时间为20分钟。
605,E010,5,现在进入正式的第3轮。本轮决策时间为20分钟。
606,E010,6,现在进入正式的第4轮。本轮决策时间为20分钟。
607,E010,7,现在进入正式的第5轮。本轮决策时间为20分钟。
608,E010,8,现在进入正式的第6轮。本轮决策时间为20分钟。
